AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
0.7762668377164779,0.45710306406685347,1.0,1.0,0.7954208043284888,0.0,0.9483417085427194,1.0,1.0,0.6795000000000073,0.6979484054438346,0.5185363505055364,0.950927109974415,0.8543388429752109,0
0.7171263630532363,0.3928969359331471,1.0,1.0,0.5245620401834551,0.0,0.9587939698492426,1.0,0.7567852437417758,0.3847500000000082,0.6250253910217306,0.4939817043813083,0.9016943734015265,0.728434917355377,0
0.7565105837074981,0.4214484679665758,1.0,1.0,0.35531655174690857,0.0,0.9483417085427194,0.8919631093544276,0.6756258234518983,0.2692500000000109,0.604306317286213,0.5556090515166092,0.8361572890025586,0.79467975206611,0
0.7697241821680583,0.4927576601671312,1.0,1.0,0.5753686780376986,0.0,0.9587939698492426,0.905401844532299,0.9325428194993304,0.6025000000000091,0.687588868576085,0.691381800674034,0.893542199488494,0.8873966942148734,0
0.7367543296985185,0.4927576601671312,1.0,1.0,0.710633103493787,0.0,0.9278391959799057,0.8242424242424214,0.7567852437417758,0.8205000000000154,0.7292301442210025,0.7038998555609005,0.9016943734015265,0.9138688016528922,0
0.6710711994868456,0.3928969359331471,1.0,1.0,0.643000890765758,0.0,0.876180904522616,0.5404479578392706,0.5404479578392706,0.5384999999999991,0.6666666666666666,0.531054405392381,0.8280051150895117,0.8012654958677656,0
0.6513149454778658,0.34289693593315157,0.9090678824721352,1.0,0.5753686780376986,0.0,0.8040201005025126,0.5135704874835276,0.7973649538867026,0.3847500000000082,0.489742027219173,0.25926817525275725,0.7787723785166232,0.6556043388429765,0
0.7302116741500988,0.4214484679665758,0.8571428571428505,0.9311813494732183,0.5921942529115143,0.0,0.7525628140703529,0.4864295125164723,0.621607378129124,0.4745000000000118,0.3855372740199011,0.18536350505536411,0.7295396419437346,0.6820764462809953,0
0.7367543296985185,0.47855153203342676,0.8052178318135659,0.8507061197041044,0.6261753158919423,0.0,0.8349748743718677,0.31093544137023027,0.1486166007904992,0.4615000000000009,0.5104611009547092,0.3582089552238835,0.8115409207161143,0.8012654958677656,0
0.7367543296985185,0.4856545961002821,0.8181357649442704,0.9080923559740084,0.5921942529115143,0.0,0.8659296482412137,0.3243741765481017,0.3243741765480777,0.4360000000000127,0.7292301442210025,0.45690900337023543,0.9755434782608593,0.8476239669421474,0
0.7367543296985185,0.47855153203342676,0.7142857142857011,0.9311813494732183,0.5413876150572706,0.0,0.7628140703517643,0.5135704874835276,0.6350461133069716,0.4360000000000127,0.687588868576085,0.3334135772749029,0.8852301790281291,0.7085485537190139,0
0.6183450930083378,0.36420612813370506,0.37664640324214066,0.7702308899349904,0.44010425258158026,0.0,0.7318592964824183,0.49986824769434374,0.3649538866930045,0.30775000000001,0.41681901279706907,0.07414540202214565,0.5901534526854194,0.5563016528925692,0
0.5066067992302742,0.23565459610027897,0.07776089159067053,0.517372786370771,0.32166540199927746,0.0,0.8040201005025126,0.3649538866930285,0.17575757575757853,0.25650000000000545,0.2709729839528796,0.0,0.47538363171354847,0.54300103305785,0
0.5066067992302742,0.3071030640668541,0.1816109422492398,0.47119479937235126,0.4061231896011522,0.0,0.8349748743718677,0.5404479578392706,0.621607378129124,0.35900000000001453,0.3542555352427332,0.11121810303321847,0.5410805626598489,0.5628873966942131,0
0.5657472738935158,0.414206128133707,0.4024822695035496,0.5861914368975527,0.4909108904358239,0.0,0.8040201005025126,0.8513833992095008,0.8919631093544036,0.3462500000000091,0.4478976234003733,0.37048627828597575,0.5655370843989751,0.6225464876033021,0
0.5789608723540759,0.3785515320334293,0.2857142857142758,0.5861914368975527,0.38929761472733665,0.0,0.8349748743718677,0.8242424242424214,0.6350461133069716,0.3335000000000036,0.45846028844200504,0.24699085219064318,0.5410805626598489,0.6621900826446322,0
